Source.Name,fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount,Year
Sales 2014.csv,1,4,6,Germany;Dresden,2/1/2014,145,0.954,0.55,2014
Sales 2014.csv,2,9,6,Germany;Dresden,2/1/2014,142,0.954,0.55,2014
Sales 2014.csv,3,2,7,Germany;Frankfurt,2/1/2014,135,0.954,0.55,2014
Sales 2014.csv,4,10,5,Germany;Berlin,2/1/2014,133,0.954,0.55,2014
Sales 2014.csv,5,3,7,Germany;Frankfurt,2/1/2014,133,0.954,0.55,2014
Sales 2014.csv,6,9,3,Czech republic;Ostrava,2/1/2014,133,0.954,0.55,2014
Sales 2014.csv,7,5,1,Czech republic;Prague,2/1/2014,131,0.954,0.55,2014
Sales 2014.csv,8,6,2,Denmark;Copenhagen,2/1/2014,119,0.954,0.55,2014
Sales 2014.csv,9,11,7,Germany;Frankfurt,2/1/2014,118,0.954,0.55,2014
Sales 2014.csv,10,3,2,Denmark;Copenhagen,2/1/2014,117,0.954,0.55,2014
Sales 2014.csv,11,5,2,Denmark;Copenhagen,2/1/2014,117,0.954,0.55,2014
Sales 2014.csv,12,6,7,Germany;Frankfurt,2/1/2014,114,0.954,0.55,2014
Sales 2014.csv,13,10,4,Germany;Frankfurt,2/1/2014,112,0.954,0.55,2014
Sales 2014.csv,14,6,7,Germany;Frankfurt,2/1/2014,99,0.954,0.4,2014
Sales 2014.csv,15,3,5,Germany;Berlin,2/1/2014,91,0.954,0.4,2014
Sales 2014.csv,16,5,2,Denmark;Copenhagen,2/1/2014,88,0.954,0.4,2014
Sales 2014.csv,17,10,7,Germany;Frankfurt,2/1/2014,88,0.954,0.4,2014
Sales 2014.csv,18,8,1,Czech republic;Prague,2/1/2014,87,0.954,0.4,2014
Sales 2014.csv,19,4,2,Denmark;Copenhagen,2/1/2014,85,0.954,0.4,2014
Sales 2014.csv,20,8,2,Denmark;Copenhagen,2/1/2014,84,0.954,0.4,2014
Sales 2014.csv,21,5,7,Germany;Frankfurt,2/1/2014,83,0.954,0.4,2014
Sales 2014.csv,22,4,7,Germany;Frankfurt,2/1/2014,77,0.954,0.4,2014
Sales 2014.csv,23,8,7,Germany;Frankfurt,2/1/2014,74,0.954,0.15,2014
Sales 2014.csv,24,3,7,Germany;Frankfurt,2/1/2014,65,0.954,0.15,2014
Sales 2014.csv,25,5,3,Czech republic;Brno,2/1/2014,64,0.954,0.15,2014
Sales 2014.csv,26,7,5,Germany;Berlin,2/1/2014,61,0.954,0.15,2014
Sales 2014.csv,27,8,2,Denmark;Copenhagen,2/1/2014,61,0.954,0.15,2014
Sales 2014.csv,28,11,7,Germany;Frankfurt,2/1/2014,44,0.954,0.15,2014
Sales 2014.csv,29,9,7,Germany;Frankfurt,2/1/2014,41,0.954,0.15,2014
Sales 2014.csv,30,2,6,Germany;Dresden,2/1/2014,37,0.954,0.15,2014
Sales 2014.csv,31,5,3,Czech republic;Brno,2/1/2014,36,0.954,0.15,2014
Sales 2014.csv,32,1,2,Denmark;Copenhagen,2/1/2014,32,0.954,0.15,2014
Sales 2014.csv,33,9,5,Germany;Berlin,2/1/2014,23,0.954,0.01,2014
Sales 2014.csv,34,3,5,Germany;Berlin,2/1/2014,16,0.954,0.01,2014
Sales 2014.csv,35,5,7,Germany;Frankfurt,2/1/2014,11,0.954,0.01,2014
Sales 2014.csv,36,7,5,Germany;Berlin,2/1/2014,7,0.954,0,2014
Sales 2014.csv,37,6,1,Czech republic;Prague,3/1/2014,145,0.962,0.55,2014
Sales 2014.csv,38,8,6,Germany;Dresden,3/1/2014,144,0.962,0.55,2014
Sales 2014.csv,39,1,2,Denmark;Copenhagen,3/1/2014,142,0.962,0.55,2014
Sales 2014.csv,40,3,5,Germany;Berlin,3/1/2014,135,0.962,0.55,2014
Sales 2014.csv,41,4,6,Germany;Dresden,3/1/2014,131,0.962,0.55,2014
Sales 2014.csv,42,7,4,Germany;Frankfurt,3/1/2014,129,0.962,0.55,2014
Sales 2014.csv,43,11,5,Germany;Berlin,3/1/2014,128,0.962,0.55,2014
Sales 2014.csv,44,4,7,Germany;Frankfurt,3/1/2014,127,0.962,0.55,2014
Sales 2014.csv,45,6,3,Czech republic;Brno,3/1/2014,123,0.962,0.55,2014
Sales 2014.csv,46,7,5,Germany;Berlin,3/1/2014,108,0.962,0.55,2014
Sales 2014.csv,47,10,7,Germany;Frankfurt,3/1/2014,104,0.962,0.55,2014
Sales 2014.csv,48,9,4,Germany;Frankfurt,3/1/2014,103,0.962,0.55,2014
Sales 2014.csv,49,3,7,Germany;Frankfurt,3/1/2014,97,0.962,0.4,2014
Sales 2014.csv,50,9,5,Germany;Berlin,3/1/2014,97,0.962,0.4,2014
